,id,filename,topic,iteration,buf_size
35062,uark8675aesirpresence15_87617_922925800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35063,uark8675aesirpresence14_87617_969231000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35064,uark8675aesirpresence13_87617_969560300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35065,uark8675aesirpresence12_87618_32895600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35066,uark8675aesirpresence11_87618_237315400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35067,uark8675aesirpresence11_87619_248272000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35068,uark8675aesirpresence12_87620_47265900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35069,uark8675aesirpresence11_87620_251270800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35070,uark8675aesirpresence51_87620_868072400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence51,8,192
35071,uark8675aesirpresence24_87620_899566600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence24,8,192
35072,uark8675aesirpresence22_87620_915369900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence22,8,192
35073,uark8675aesirpresence13_87620_976559600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35074,uark8675aesirpresence11_87621_256334100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35075,uark8675aesirpresence41_87621_880866600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence41,8,192
35076,uark8675aesirpresence23_87621_900449500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence23,8,192
35077,uark8675aesirpresence14_87621_978050500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35078,uark8675aesirpresence12_87622_55607800,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35079,uark8675aesirpresence11_87622_271248200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35080,uark8675aesirpresence33_87622_901897600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence33,8,192
35081,uark8675aesirpresence15_87622_932161100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence15,8,192
35082,uark8675aesirpresence11_87623_286232900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35083,uark8675aesirpresence52_87623_892000500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence52,8,192
35084,uark8675aesirpresence21_87623_921505400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
35085,uark8675aesirpresence31_87623_922138900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence31,8,192
35086,uark8675aesirpresence13_87623_983183400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35087,uark8675aesirpresence12_87624_61231300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35088,uark8675aesirpresence11_87624_296419200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35089,uark8675aesirpresence11_87625_299875100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35090,uark8675aesirpresence42_87625_878836000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence42,8,192
35091,uark8675aesirpresence14_87625_987558200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35092,uark8675aesirpresence12_87626_65170700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35093,uark8675aesirpresence11_87626_301118500,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35094,uark8675aesirpresence53_87626_876338900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence53,8,192
35095,uark8675aesirpresence13_87626_984616400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35096,uark8675aesirpresence11_87627_308671000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35097,uark8675aesirpresence25_87627_901928100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence25,8,192
35098,uark8675aesirpresence34_87627_902616000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence34,8,192
